ID,Domain,length,number_percent,char_percent,special_char_percent,domain_depth,tag
0,infotradyne.xyz,15,0.0,0.9333333333333333,1.0,2,0
1,hewle.kielsoservice.net,23,0.0,0.9130434782608695,1.0,3,0
2,ww6.referfile.com,17,0.058823529411764705,0.8823529411764706,1.0,3,0
3,ecls.theworkpc.com,18,0.0,0.8888888888888888,1.0,3,0
4,buzz-165100.buzztodayz.com,26,0.23076923076923078,0.8846153846153846,0.9615384615384616,3,0
5,www.microsoftonedriver.com,26,0.0,0.9230769230769231,1.0,3,0
6,housingpanel.info,17,0.0,0.9411764705882353,1.0,2,0
7,00000.ddns.net,14,0.35714285714285715,0.8571428571428571,1.0,3,0
8,www.phonectrl.com,17,0.0,0.8823529411764706,1.0,3,0
9,webhop.me,9,0.0,0.8888888888888888,1.0,2,0
10,4a77c191.yalaso.top,19,0.3157894736842105,0.8947368421052632,1.0,3,0
11,speedtest.mine-wars.net,23,0.0,0.8695652173913043,0.9565217391304348,3,0
12,google.com,10,0.0,0.9,1.0,2,0
13,dyna.wikimedia.org,18,0.0,0.8888888888888888,1.0,3,0
14,slamburger.net,14,0.0,0.9285714285714286,1.0,2,0
15,000.ddns.net,12,0.25,0.8333333333333334,1.0,3,0
16,office-templates.herokuapp.com,30,0.0,0.9,0.9666666666666667,3,0
17,ns1.competitveedge.org,22,0.045454545454545456,0.9090909090909091,1.0,3,0
18,www.bonimoni.xyz,16,0.0,0.875,1.0,3,0
19,ftp.shipped.lt,14,0.0,0.8571428571428571,1.0,3,0
20,randreports.org,15,0.0,0.9333333333333333,1.0,2,0
21,lite.bgre.kozow.com,19,0.0,0.8421052631578947,1.0,4,0
22,prda.aadg.msidentity.com,24,0.0,0.875,1.0,4,0
23,jennerkaylessi.xyz,18,0.0,0.9444444444444444,1.0,2,0
24,dataupdatars.com,16,0.0,0.9375,1.0,2,0
25,0128ehsc8asg8dbqw.webhop.me,27,0.2222222222222222,0.9259259259259259,1.0,3,0
26,en-officeupdate.herokuapp.com,29,0.0,0.896551724137931,0.9655172413793104,3,0
27,www.ciis-cn.net,15,0.0,0.8,0.9333333333333333,3,0
28,secuina.net,11,0.0,0.9090909090909091,1.0,2,0
29,www.secuina.net,15,0.0,0.8666666666666667,1.0,3,0
30,ban.mine-wars.net,17,0.0,0.8235294117647058,0.9411764705882353,3,0
31,ns2.attentiesecurity.icu,24,0.041666666666666664,0.9166666666666666,1.0,3,0
32,48944kjskbcskjcbs8937994.cloudns.nz,35,0.34285714285714286,0.9428571428571428,1.0,3,0
33,0-9.ddns.net,12,0.16666666666666666,0.75,0.9166666666666666,3,0
34,www.pankilo.xyz,15,0.0,0.8666666666666667,1.0,3,0
35,solartech.3cx.ro,16,0.0625,0.875,1.0,3,0
36,office-fonts.herokuapp.com,26,0.0,0.8846153846153846,0.9615384615384616,3,0
37,01-mobile-provider.herokuapp.com,32,0.0625,0.875,0.9375,3,0
38,ddns.net,8,0.0,0.875,1.0,2,0
39,0000.ddns.net,13,0.3076923076923077,0.8461538461538461,1.0,3,0
40,ns1.secuina.net,15,0.06666666666666667,0.8666666666666667,1.0,3,0
41,dev.shipped.lt,14,0.0,0.8571428571428571,1.0,3,0
42,www.slamburger.net,18,0.0,0.8888888888888888,1.0,3,0
43,jizyajan.shop,13,0.0,0.9230769230769231,1.0,2,0
44,pankilo.xyz,11,0.0,0.9090909090909091,1.0,2,0
45,user-assist.site,16,0.0,0.875,0.9375,2,0
46,hostingplatform.top,19,0.0,0.9473684210526315,1.0,2,0
47,05081.herokuapp.com,19,0.2631578947368421,0.8947368421052632,1.0,3,0
48,api.droidgames.info,19,0.0,0.8947368421052632,1.0,3,0
49,security-run.ddns.net,21,0.0,0.8571428571428571,0.9523809523809523,3,0
50,node103p-416.vps.dynu.net,25,0.24,0.84,0.96,4,0
51,07395.herokuapp.com,19,0.2631578947368421,0.8947368421052632,1.0,3,0
52,www.proco-team.tk,17,0.0,0.8235294117647058,0.9411764705882353,3,0
53,horatiu-anghel.3cx.ro,21,0.047619047619047616,0.8571428571428571,0.9523809523809523,3,0
54,portal.bgre.kozow.com,21,0.0,0.8571428571428571,1.0,4,0
55,idealbetaling.com,17,0.0,0.9411764705882353,1.0,2,0
56,postnll.xyz,11,0.0,0.9090909090909091,1.0,2,0
57,0-11.ddns.net,13,0.23076923076923078,0.7692307692307693,0.9230769230769231,3,0
58,login.live.com,14,0.0,0.8571428571428571,1.0,3,0
59,referfile.com,13,0.0,0.9230769230769231,1.0,2,0
60,loopmerady.site,15,0.0,0.9333333333333333,1.0,2,0
61,betaaldienst.com,16,0.0,0.9375,1.0,2,0
62,security-check.redirectme.net,29,0.0,0.896551724137931,0.9655172413793104,3,0
63,login.mathworks.com,19,0.0,0.8947368421052632,1.0,3,0
64,p.typekit.net,13,0.0,0.8461538461538461,1.0,3,0
65,msoffice.user-assist.site,25,0.0,0.88,0.96,3,0
66,07achase.webhop.me,18,0.1111111111111111,0.8888888888888888,1.0,3,0
67,zxcb120.com,11,0.2727272727272727,0.9090909090909091,1.0,2,0
68,786788923637.cloudns.nz,23,0.5217391304347826,0.9130434782608695,1.0,3,0
69,signaturedz.com,15,0.0,0.9333333333333333,1.0,2,0
70,info.puoljimfoodsandsales.cloudns.nz,36,0.0,0.9166666666666666,1.0,4,0
71,1.webhop.me,11,0.09090909090909091,0.8181818181818182,1.0,3,0
72,www.dev.shipped.lt,18,0.0,0.8333333333333334,1.0,4,0
73,onserver-mail.top,17,0.0,0.8823529411764706,0.9411764705882353,2,0
74,phonectrl.com,13,0.0,0.9230769230769231,1.0,2,0
75,vlc-updates.ddns.net,20,0.0,0.85,0.95,3,0
76,mail.kazbab.lt,14,0.0,0.8571428571428571,1.0,3,0
77,bonimoni.xyz,12,0.0,0.9166666666666666,1.0,2,0
78,www.hostingplatform.top,23,0.0,0.9130434782608695,1.0,3,0
79,thursday.firstfridaysnorfolkva.com,34,0.0,0.9411764705882353,1.0,3,0
80,02.herokuapp.com,16,0.125,0.875,1.0,3,0
81,time.windows.com,16,0.0,0.875,1.0,3,0
82,www.referfile.com,17,0.0,0.8823529411764706,1.0,3,0
83,arc.msn.com,11,0.0,0.8181818181818182,1.0,3,0
84,mail.ecls.theworkpc.com,23,0.0,0.8695652173913043,1.0,4,0
85,00-unicafarma-escritorio.ddns.net,33,0.06060606060606061,0.8787878787878788,0.9393939393939394,3,0
86,dihssolar.com,13,0.0,0.9230769230769231,1.0,2,0
87,binbetrunken.de,15,0.0,0.9333333333333333,1.0,2,0
88,afronden.site,13,0.0,0.9230769230769231,1.0,2,0
89,www.jazeerjamal.eu,18,0.0,0.8888888888888888,1.0,3,0
90,accounts.onserver-mail.top,26,0.0,0.8846153846153846,0.9615384615384616,3,0
91,img-prod-cms-rt-microsoft-com.akamaized.net,43,0.0,0.8372093023255814,0.8837209302325582,3,0
92,3media.randreports.org,22,0.045454545454545456,0.9090909090909091,1.0,3,0
93,microsoftonedriver.com,22,0.0,0.9545454545454546,1.0,2,0
94,office.phonectrl.com,20,0.0,0.9,1.0,3,0
95,support-office-us.herokuapp.com,31,0.0,0.8709677419354839,0.9354838709677419,3,0
96,ftp.ciis-cn.net,15,0.0,0.8,0.9333333333333333,3,0
97,0auth-inv.webhop.me,19,0.05263157894736842,0.8421052631578947,0.9473684210526315,3,0
98,0-12-hosped.ddns.net,20,0.15,0.8,0.9,3,0
99,02501.herokuapp.com,19,0.2631578947368421,0.8947368421052632,1.0,3,0
100,mail.solidity-safety.top,24,0.0,0.875,0.9583333333333334,3,0
101,kioskiositent.xyz,17,0.0,0.9411764705882353,1.0,2,0
102,office.tibet-office.com,23,0.0,0.8695652173913043,0.9565217391304348,3,0
103,www.signaturedz.com,19,0.0,0.8947368421052632,1.0,3,0
104,tractoagrovial.com,18,0.0,0.9444444444444444,1.0,2,0
105,bill1.epi90f.cyou,17,0.17647058823529413,0.8823529411764706,1.0,3,0
106,a400.tech,9,0.3333333333333333,0.8888888888888888,1.0,2,0
107,00-00.ddns.net,14,0.2857142857142857,0.7857142857142857,0.9285714285714286,3,0
108,www.greatdexter.com,19,0.0,0.8947368421052632,1.0,3,0
109,smtp.kazbab.lt,14,0.0,0.8571428571428571,1.0,3,0
110,mail.phonectrl.com,18,0.0,0.8888888888888888,1.0,3,0
111,00cec2b425-direwolf-851efb4885.herokuapp.com,44,0.29545454545454547,0.9090909090909091,0.9545454545454546,3,0
112,taxofill.info,13,0.0,0.9230769230769231,1.0,2,0
113,info-updates.ddns.net,21,0.0,0.8571428571428571,0.9523809523809523,3,0
114,wcnchost.ddns.net,17,0.0,0.8823529411764706,1.0,3,0
115,www.ankaramassaj4.com,21,0.047619047619047616,0.9047619047619048,1.0,3,0
116,jazeerjamal.eu,14,0.0,0.9285714285714286,1.0,2,0
117,zhuce.kozow.com,15,0.0,0.8666666666666667,1.0,3,0
118,pop.kazbab.lt,13,0.0,0.8461538461538461,1.0,3,0
119,bingoplant.live,15,0.0,0.9333333333333333,1.0,2,0
120,hostmaster.competitveedge.org,29,0.0,0.9310344827586207,1.0,3,0
121,www.droidgames.info,19,0.0,0.8947368421052632,1.0,3,0
122,000000.ddns.net,15,0.4,0.8666666666666667,1.0,3,0
123,system-secuirty.ddns.net,24,0.0,0.875,0.9583333333333334,3,0
124,in.tibet-office.com,19,0.0,0.8421052631578947,0.9473684210526315,3,0
125,ns2.competitveedge.org,22,0.045454545454545456,0.9090909090909091,1.0,3,0
126,mine-wars.net,13,0.0,0.8461538461538461,0.9230769230769231,2,0
127,ns2.referfile.com,17,0.058823529411764705,0.8823529411764706,1.0,3,0
128,gnyn.justlaunch.org,19,0.0,0.8947368421052632,1.0,3,0
129,ankaramassaj4.com,17,0.058823529411764705,0.9411764705882353,1.0,2,0
130,sebdev.zuchtbude.de,19,0.0,0.8947368421052632,1.0,3,0
131,ftp.wba.com.hk,14,0.0,0.7857142857142857,1.0,4,0
132,tt-us.yektavip.biz,18,0.0,0.8333333333333334,0.9444444444444444,3,0
133,mail.referfile.com,18,0.0,0.8888888888888888,1.0,3,0
134,rawayledgesw.com,16,0.0,0.9375,1.0,2,0
135,gov-cloud.herokuapp.com,23,0.0,0.8695652173913043,0.9565217391304348,3,0
136,unassigned.172-81-62-200.pivo.com,33,0.30303030303030304,0.8181818181818182,0.9090909090909091,4,0
137,ithm.store,10,0.0,0.9,1.0,2,0
138,media.randreports.org,21,0.0,0.9047619047619048,1.0,3,0
139,koellepester.xyz,16,0.0,0.9375,1.0,2,0
140,smtp.wba.com.hk,15,0.0,0.8,1.0,4,0
141,kazbab.lt,9,0.0,0.8888888888888888,1.0,2,0
142,ftp.randreports.org,19,0.0,0.8947368421052632,1.0,3,0
143,nexus.officeapps.live.com,25,0.0,0.88,1.0,4,0
144,ns1.referfile.com,17,0.058823529411764705,0.8823529411764706,1.0,3,0
145,adworks.webhop.me,17,0.0,0.8823529411764706,1.0,3,0
146,unassigned.142-202-191-236.pivo.com,35,0.34285714285714286,0.8285714285714286,0.9142857142857143,4,0
147,mail-paf-documents-download-pk.herokuapp.com,44,0.0,0.8636363636363636,0.9090909090909091,3,0
148,kristefionina.xyz,17,0.0,0.9411764705882353,1.0,2,0
149,0nl1ne-sciti4en5.webhop.me,26,0.15384615384615385,0.8846153846153846,0.9615384615384616,3,0
150,phpmyadmin.microsoftonedriver.com,33,0.0,0.9393939393939394,1.0,3,0
151,file-sharing.tibet-office.com,29,0.0,0.8620689655172413,0.9310344827586207,3,0
152,bgre.kozow.com,14,0.0,0.8571428571428571,1.0,3,0
153,services.mathworks.com,22,0.0,0.9090909090909091,1.0,3,0
154,lc000.tech,10,0.3,0.9,1.0,2,0
155,greatdexter.com,15,0.0,0.9333333333333333,1.0,2,0
156,zmka.cn,7,0.0,0.8571428571428571,1.0,2,0
157,www.randreports.org,19,0.0,0.8947368421052632,1.0,3,0
158,007.webhop.me,13,0.23076923076923078,0.8461538461538461,1.0,3,0
159,solidity-safety.top,19,0.0,0.8947368421052632,0.9473684210526315,2,0
160,0.herokuapp.com,15,0.06666666666666667,0.8666666666666667,1.0,3,0
161,dns.msftncsi.com,16,0.0,0.875,1.0,3,0
162,ww5.referfile.com,17,0.058823529411764705,0.8823529411764706,1.0,3,0
163,mail.proco-team.tk,18,0.0,0.8333333333333334,0.9444444444444444,3,0
164,viagrawithnoprescription.com,28,0.0,0.9642857142857143,1.0,2,0
165,droidgames.info,15,0.0,0.9333333333333333,1.0,2,0
166,shop.mine-wars.net,18,0.0,0.8333333333333334,0.9444444444444444,3,0
167,mail.wba.com.hk,15,0.0,0.8,1.0,4,0
168,ciis-cn.net,11,0.0,0.8181818181818182,0.9090909090909091,2,0
169,use.typekit.net,15,0.0,0.8666666666666667,1.0,3,0
170,2s.diymate.cn,13,0.07692307692307693,0.8461538461538461,1.0,3,0
171,artag.nkli.net,14,0.0,0.8571428571428571,1.0,3,0
172,ssl.onserver-mail.top,21,0.0,0.8571428571428571,0.9523809523809523,3,0
173,www.competitveedge.org,22,0.0,0.9090909090909091,1.0,3,0
174,attentiesecurity.icu,20,0.0,0.95,1.0,2,0
175,0-0.ddns.net,12,0.16666666666666666,0.75,0.9166666666666666,3,0
176,www.bgre.kozow.com,18,0.0,0.8333333333333334,1.0,4,0
177,xd8dxmlba.cloudns.ph,20,0.05,0.9,1.0,3,0
178,0jqcdn03.herokuapp.com,22,0.13636363636363635,0.9090909090909091,1.0,3,0
179,nexusrules.officeapps.live.com,30,0.0,0.9,1.0,4,0
180,lh.ydwlec.me,12,0.0,0.8333333333333334,1.0,3,0
181,urtite.store,12,0.0,0.9166666666666666,1.0,2,0
182,forum.droidgames.info,21,0.0,0.9047619047619048,1.0,3,0
183,www.kazbab.lt,13,0.0,0.8461538461538461,1.0,3,0
184,www.api.droidgames.info,23,0.0,0.8695652173913043,1.0,4,0
185,proco-team.tk,13,0.0,0.8461538461538461,0.9230769230769231,2,0
186,home.itbyhf.xyz,15,0.0,0.8666666666666667,1.0,3,0
