start,end,type
12302,12123,1
12305,12124,1
12305,12125,1
12305,12126,1
12305,12127,1
12305,12128,1
12305,12129,1
12305,12130,1
12305,12131,1
12305,12132,1
12305,12133,1
12313,12134,1
12314,12135,1
12298,83,3
12298,91,3
12298,58,3
12298,65,3
12298,45,3
12138,1,3
12001,190,3
12001,193,3
12025,196,3
12025,195,3
12025,81,3
12151,81,3
19321,161,3
12023,196,3
12044,155,3
12301,83,3
12301,58,3
12302,22,3
12305,91,3
12305,63,3
12305,64,3
12305,153,3
12305,169,3
12309,143,3
12312,13,3
12312,194,3
12312,12,3
12314,81,3
12316,13,3
12316,194,3
12316,12,3
12317,13,3
12317,194,3
12317,12,3
12318,13,3
12318,194,3
12318,12,3
12320,13,3
12320,194,3
12320,12,3
12323,13,3
12323,194,3
12323,12,3
12323,143,3
12323,179,3
12215,161,3
19322,161,3
12295,7147,2
12298,7148,2
12298,7149,2
12298,7150,2
12298,7151,2
12298,7152,2
12298,7153,2
12298,7154,2
12298,7155,2
12298,7156,2
12138,7148,2
12138,7157,2
12138,7158,2
12138,7159,2
12138,7160,2
12138,7161,2
12001,7010,2
12140,7159,2
12140,7160,2
12140,7162,2
12140,7163,2
12025,7160,2
12025,7164,2
12151,7165,2
19321,7166,2
19321,7157,2
19323,7157,2
12299,7160,2
12023,7159,2
12023,7162,2
12044,7090,2
12044,7092,2
12044,7091,2
12044,7093,2
12044,7159,2
12044,7162,2
12044,7167,2
12044,7089,2
12044,7095,2
12044,7087,2
12300,7168,2
12300,7163,2
12300,7169,2
12301,7170,2
12301,7171,2
12301,7172,2
12301,7173,2
12301,7174,2
12301,7168,2
12301,7160,2
12301,7162,2
12301,7175,2
12301,7176,2
12302,7177,2
12302,7178,2
12302,7158,2
12302,7179,2
12302,7173,2
12302,7168,2
12302,7159,2
12302,7160,2
12302,7162,2
12302,7163,2
12305,7180,2
12305,7181,2
12305,7182,2
12305,7183,2
12305,7184,2
12305,7185,2
12305,7186,2
12305,7187,2
12305,7188,2
12306,7168,2
12306,7162,2
12307,7189,2
12307,7190,2
12307,7157,2
12307,7191,2
12307,7158,2
12307,7160,2
12307,7192,2
12307,7162,2
12307,7163,2
12307,7193,2
12309,7194,2
12309,7195,2
12309,7196,2
12309,7197,2
12309,7198,2
12309,7199,2
12310,7179,2
12311,7200,2
12312,7201,2
12312,7202,2
12312,7203,2
12312,7204,2
12312,7205,2
12312,7206,2
12312,7207,2
12312,7208,2
12312,7159,2
12312,7209,2
12214,7210,2
12214,7178,2
12214,7160,2
12214,7163,2
12314,7164,2
12315,7159,2
12315,7162,2
12315,7163,2
12315,7211,2
19324,7159,2
19324,7163,2
19324,7193,2
19324,7212,2
12212,7213,2
12212,7157,2
12212,7212,2
12316,7214,2
12316,7208,2
12316,7215,2
12316,7209,2
12316,7163,2
12316,7216,2
12317,7214,2
12317,7217,2
12317,7218,2
12317,7209,2
12317,7162,2
12317,7216,2
12318,7202,2
12318,7203,2
12318,7204,2
12318,7205,2
12318,7206,2
12318,7207,2
12318,7219,2
12318,7220,2
12318,7221,2
12318,7222,2
12319,7223,2
12213,7210,2
12213,7168,2
12213,7163,2
12320,7224,2
12320,7208,2
12320,7225,2
12320,7226,2
12320,7227,2
12320,7228,2
12320,7229,2
12320,7230,2
12320,7157,2
12320,7209,2
12135,7231,2
12322,7179,2
12323,7232,2
12323,7233,2
12323,7224,2
12323,7234,2
12323,7201,2
12323,7235,2
12323,7148,2
12323,7208,2
12323,7236,2
12323,7237,2
12324,7162,2
12215,7210,2
12215,7166,2
12215,7157,2
12215,7238,2
12215,7239,2
12215,7168,2
12215,7162,2
12215,7163,2
19322,7240,2
19322,7166,2
19322,7168,2
12325,7241,2
12325,7242,2
12325,7162,2
12325,7243,2
12325,7244,2
12298,12136,1
12298,12137,1
12138,12138,1
12138,12139,1
12001,12140,1
12001,12141,1
12001,12142,1
12001,12143,1
12001,12144,1
12140,12145,1
12025,12146,1
12025,12147,1
12025,12148,1
12025,12149,1
19321,12150,1
19321,12151,1
19321,12152,1
19321,12153,1
19321,12154,1
19321,12155,1
19321,12156,1
19321,12157,1
19321,12158,1
19321,12159,1
19323,12160,1
19323,12161,1
19323,12162,1
12299,12163,1
12023,12164,1
12023,12165,1
12023,12166,1
12023,12167,1
12023,12168,1
12044,12169,1
12044,12170,1
12044,12171,1
12044,12172,1
12044,12173,1
12044,12174,1
12044,12175,1
12044,12176,1
12044,12177,1
12044,12178,1
12300,12179,1
12300,12180,1
12300,12181,1
12300,12182,1
12300,12183,1
12300,12184,1
12300,12185,1
12300,12186,1
12300,12187,1
12300,12188,1
12301,12189,1
12302,12190,1
12304,12191,1
12305,12192,1
12305,12193,1
12305,12194,1
12305,12195,1
12305,12196,1
12305,12197,1
12305,12198,1
12305,12199,1
12305,19368,1
12305,19369,1
12307,19370,1
12307,19371,1
12309,19372,1
12309,17332,1
12309,19373,1
12309,19374,1
12309,13018,1
12309,19375,1
12309,19376,1
12309,19377,1
12309,19378,1
12309,19379,1
12310,19380,1
12311,19381,1
12214,19322,1
12214,19382,1
12214,19383,1
12214,19384,1
12214,19385,1
12214,19386,1
12313,19387,1
12314,19388,1
12315,12145,1
19324,19389,1
19324,19390,1
12212,19324,1
12212,14660,1
12212,12150,1
12212,19391,1
12212,19392,1
12212,19393,1
12212,19394,1
12212,19395,1
12212,19396,1
12212,19397,1
12316,19398,1
12317,19399,1
12319,19400,1
12319,19401,1
12213,19322,1
12213,19402,1
12213,19403,1
12213,19404,1
12213,19405,1
12213,19385,1
12135,19388,1
12321,14218,1
12321,19406,1
12321,19407,1
12321,19408,1
12322,19409,1
12323,19410,1
12324,19409,1
12215,19322,1
12215,19411,1
12215,19412,1
12215,19413,1
12215,19414,1
12215,19415,1
12215,19416,1
12215,19417,1
12215,19418,1
12215,19419,1
19322,19420,1
19322,19421,1
19322,19422,1
19322,19423,1
19322,19424,1
19322,19425,1
19322,19385,1
12325,19409,1
12134,19426,1
12302,19427,1
12301,19428,1
12298,16774,1
12138,13806,1
12140,12001,1
12151,19321,1
12161,19323,1
12301,19429,1
12301,19430,1
12301,19431,1
12301,19432,1
12301,19433,1
12301,19434,1
12301,19435,1
12301,19436,1
12301,19437,1
12301,19438,1
12302,19439,1
12302,19440,1
12302,19441,1
12302,19442,1
12302,19443,1
12302,19444,1
12302,19445,1
12302,19446,1
12302,19447,1
12302,19448,1
12303,19449,1
12304,19429,1
12304,19430,1
12304,19450,1
12304,19431,1
12304,19451,1
12304,19432,1
12304,19452,1
12304,19453,1
12304,19434,1
12304,19435,1
12307,19454,1
12307,19455,1
12307,19456,1
12307,19457,1
12307,12200,1
12307,12201,1
12307,12202,1
12307,12203,1
12307,12204,1
12307,12205,1
12308,12206,1
12308,12207,1
12308,12208,1
12308,12209,1
12308,12210,1
12308,12211,1
19324,12212,1
19322,12213,1
19322,12214,1
19322,12215,1
7245,198,4
7245,76,4
7245,183,4
7245,118,4
7245,141,4
7245,109,4
7245,216,4
7245,72,4
7245,19,4
7245,41,4
7005,93,4
7004,62,4
7004,49,4
7004,123,4
7004,113,4
7004,4,4
7004,200,4
7246,115,4
7246,129,4
7246,132,4
7246,46,4
7246,79,4
7246,78,4
7247,24,4
7247,171,4
7249,60,4
7249,3,4
7249,84,4
7212,170,4
7212,10,4
7212,104,4
7250,164,4
7250,136,4
7251,106,4
7251,154,4
7251,165,4
7251,121,4
7251,182,4
7251,48,4
7251,184,4
7252,35,4
7252,53,4
7252,163,4
7252,52,4
7252,185,4
7252,73,4
7252,172,4
7252,90,4
7253,21,4
7253,54,4
7253,176,4
7253,152,4
7253,100,4
7253,159,4
7254,128,4
7255,56,4
7256,117,4
7256,180,4
7256,201,4
7256,204,4
7256,67,4
7256,134,4
7257,86,4
7257,31,4
7257,174,4
7257,68,4
7257,32,4
7257,70,4
7258,146,4
7258,105,4
7258,50,4
7258,177,4
7259,186,4
7259,191,4
7259,205,4
7259,30,4
7259,126,4
7259,166,4
7259,199,4
7259,11,4
7259,202,4
7259,130,4
7260,89,4
7260,116,4
7261,208,4
7261,61,4
7261,88,4
7261,55,4
7262,213,4
7262,181,4
7262,139,4
7262,23,4
7262,101,4
7262,148,4
7262,0,4
7262,209,4
7262,156,4
7262,137,4
7263,215,4
