ID,Hash,filetype,filesize,family,tag
12000,7cc1e4232716e80657cc8ecf6c0e0c1b5ddc7227e929cf4ef2352355bf462236,1,558496,1,1
12001,79bde77f2295dbf272b4138db3b42a8e40e67201da5f7a70de1600c15ebfc81e,2,5550,1,0
12002,40831538e59700fd86081130af597623d0779a93cde6f76b86d52174522d8ad4,3,963944,2,0
12003,e2b7181d67ab4a4de5600d7f0f68190894db4d007aa66db94be0ee94631bc701,3,1826670,2,0
12004,449b4cee4b9df09777891a70248e000e3bb13f33d579603f69e444d4d175d022,4,3267555,3,0
12005,466bfba4bebe8111c3a521066f33e8919ff77a970c6270fe16b5d9b7c8b13d9a,4,2381028,3,0
12006,0aeda32f977c98c8160491358491d0ad0898dcaa3366bde60c0a3bf8541e7b3f,4,12099,1,0
12007,57ceb6de44ee7ff1c43a1ccd3d562cfa6093ec61dbd682dd3432ebcfc2fa5724,5,0,1,11
12008,7967f86e2d1f2978a031d1f7c6e750f72501ad95434cb2149a0a65e549e57481,1,1275304,1,11
12009,c135c17e49c9ade379e330cd610e71a654cd5146e4632efd0f01be6c99b0504b,1,1275299,4,0
12010,c7bc661143e391c84efab937f5550cc63be7ddd3231f75cbe273a407e21e6675,1,1712128,1,11
12011,dde18c3c3b6323c61bb14ef2324fe0cc6881e79a7c6e38a82262846d397a108b,1,1284870,4,11
12012,3f463cebef1550b055ef6b4d1dad16ff1cb514f0091271ce92549e77bb5080d6,1,1003320,5,0
12013,8d6276897040bf3d680ced3d993887832cb31c536918a7619e7a5138c5fe31ed,1,1013464,1,0
12014,910e9e24ba94045ba2ab2beb13d5ad81b7849fb2a314b0b943c8d574b93ebd34,1,1003320,1,0
12015,a04f07fc0ab9d27604224e2a53e353802e2549b369086e386e997332c3e57439,1,1012880,6,0
12016,cef1c0d175184a8a05ba2620d276dde6619e18e99c730e22a821c01b0b570ad7,1,1013464,1,0
12017,d373cb2d9127bbf878a2200f0f05f2a0399ce38a1398bf243b6a155117b05e31,6,1976997,1,0
12018,d554b88d836b510f6304dd4f3dc549ab63261869bd8f5db17b9efb3b5c781466,1,223320,7,0
12019,dca31d2aec4fea22b412fa6f179651a0f5659a652b0df117e77f521d6cfa9953,6,1976413,1,0
12020,e054da8d49520faaf15f8d1757c03c9248e3b2c810904ac5a4ef593e6a714965,1,212992,7,0
12021,e492f301734d6694974086129f66c8afd6368c6540f08c91fb33dd9003da08d8,1,1003320,6,0
12022,3c3a2720922e10fe868d91ce21e228064815dd3ff46804d291fd92e230e28bda,1,246544,8,11
12023,40ac99d60c2463030b40e8f5c655ec1797822bf889f0cb114aebe47bfe6666c2,1,314880,8,2
12024,420bc3d97461bcd0fa5b344df5ea0db2b4d128c47e52a5a4ec8b290f83207f8b,1,246544,8,11
12025,7292252235529c7c26ef94d8bc33a74d498dca308ea7e7beb990267ca50eb075,1,325024,8,2
12026,a96613a77c9d2e34eba5ba4e91f6b739d7e03d6377caf3760d070ddf83179cd6,1,230912,8,2
12027,b75cfd7a700027a28223f596c28275060dbf757bff43a0839a1d4025433304fd,1,236984,8,11
12028,41e561168a4a26f7d4bc14186c2d7fc2232e12fd1aa44ef77b4a9d45e14fc763,2,2677,1,0
12029,0005d8f160bea39aeed4e814481d7673bcd6d5272f13ade6d384084f6860c80e,1,171975,9,3
12030,04a1c9c38deee819a7556fcd5e569739802f70b2a9682cf8a2c60b812f6ab68d,1,89600,1,0
12031,04a94b5c14ec52e1a590bf13cc2ff069d7b1b00adc89a5c0190705848b1dcdcf,5,0,1,11
12032,07a0e0239d11a296ea62355e75442e5e813cc97ef3cbf2e10650a9bdb7781095,1,119812,10,0
12033,08728823f14c6663e34b09dc24c30bb39357ba63913486117fe60370aae645e3,1,94212,1,0
12034,087b41e7edeee128232e05d09d0253d539668f7cfa1545a8926ec1cbcb143924,1,171975,9,3
12035,0b3a79fca3e867cf2d3661484721a0a6afcd90f861b5756b37ed2b4b02cf484e,1,61952,4,0
12036,0c33338d6121f97d6be9cf0f845d44482bc2ff979fa4c28107546e8887b47a08,5,0,1,11
12037,0c3c09b66444ff8637bb859ebbd659c2120bc86fe14b0d50f7cc7293d43d12fc,5,0,1,11
12038,0fb7d11b8d7a5f66f786f563ac67130001db2591310bfaa00dbc61bb68c3ff8a,5,0,1,11
12039,bba3303974f9b4b0bc2e0b0c52e8b656992b6f18ee6321ff49d87ce1e448c69d,4,31330,3,0
12040,59cc59c7abd4b9b33bfe4fe345babbb137005efdef9e6dc409184a0cd192d981,1,81824,11,0
12041,68ad3497f1711cdcd9237883b83c0cafa1bfefd1f707556e74793ce0513ad163,1,72192,11,0
12042,a241cfcd60942ea401d53d6e02ec3dfb5f92e8f4fda0aef032bee7bb5a344c35,1,71680,12,0
12043,0345ecfb3b26acc072a3a423a9bc6aafe8750e65234e5d1f820c07cb61a2fcaf,1,934912,1,0
12044,145551d6ad9f6e6d825393342561407f9f663a43471bb1738f741addf4dd6d82,1,1005056,1,0
12045,3155dae0008c93ec78bf8e4ebe178594fd3d3b3e658c2b97d4eb85b1d135c826,1,945056,13,0
12046,4f1dfe1245990d42bff36d1f15efc47536bd84ab5e0df44d5c3d67a74ad3ba6a,1,1015200,13,0
12047,515482a057d6d959c2b0866a76682cf4748b57b799a3981b23c06d794ba3f76d,1,934912,1,0
12048,5e99f1ccc3f9f9a31f2a717ee83684b75ec9444daa74875b7b7b0ee6b0fc3c21,1,1015200,13,0
12049,68ec0245dfb5af7f0f9d561532d02491ef9c63d690245115224cddb662415f58,1,4841472,14,0
12050,6960510d932525c4ff5201ed7dc328a335c1672bebb738a7f2630e5764bf6897,5,0,1,11
12051,925ae807b13a072b07b2f3811f2904da6c38f9cf270b5806b81bcd67da0612c0,1,944472,1,0
12052,b98c4f779f06991700ac284b45af9fe5c2c11988ca7c373c3e2d8253e84ac0ab,1,934912,1,0
12053,68205817faa46e7217c4a624b8c316c7ffce5775f3afe703f90c039fd1817076,7,833061,3,0
12054,8996a6ea86bb4d627d6541c27948427af2fb82355099a3c6831871c38614feb6,5,0,1,11
12055,2fba1c217e8d683168e531a33884aaa98b94cb041b8e8e94f4e3fc2e9981e6f5,5,0,1,11
12056,8541ef56b98adce1b5ceaf98db59c0b41aa9088b2324ed15d1b21a5272784e74,5,0,1,11
12057,a9b92af42dfb524ba4dfb6678f07cd3d092f787883bdbcf3bec94f31fb02b731,1,576322,1,0
12058,db6971e9522b1cce8a0b59336dfcaf2289f0e2377b67eb025e30a7c99351c116,5,0,1,11
12059,012e0064362f7b0cecdb8808609ecd0b7cd4c9e8e04a54551d5e648b2a7c95e0,1,748708,8,2
12060,142bad89a93723f03c7602fdcc03852b37b311552dbe1bfc6c1df45199cc76f5,1,321880,8,2
12061,3b254aebc943049eeabe9a25726f3ec510a8710f0d109c7447ca900a09dc390c,1,285939,8,2
12062,4ffe52f102b8598df37e3ed6533be3e2da4279de6cf335edb86bc25f4c93a883,1,286208,8,2
12063,5211696d634acb7ea038fda7ac7be872853bdfa51b7bafc2b1bb6c24f3e3ec18,1,290106,8,0
12064,5d1f5a384a756a8a5659b78cbb1fc815b75be9063fa34b9ae938825fc34ad0fb,1,291728,8,2
12065,5e9522af3feb4e2a1c831b259e819819afd96e6f4a57ea7f123d483fea8e1f26,1,3616966,6,0
12066,86700e4c17e80106c323805845adfb67edaf6815c50e3e5dad48823267bf1522,1,280650,8,0
12067,8d53d15740e89db21250aae47d9000a47cc247f38931196b5646ec9309ed17a1,1,312320,8,2
12068,a89acefcf34aa84085f883e244d81568a30e30fc6141c4f921713786dfd477a1,1,276379,8,0
12069,0e30b6e1b05279aac4c0b3b1d8b6d250fec0999cc72d0506e617fde53bc4f6e9,4,58371,15,0
12070,c03f2cc8e731bf51c5fe2e24714c08d75e7691ccdd982a0c3aae233b132421e9,4,48561,15,0
12071,e8cc982ad88c60cd2bf0abad663cc90cc89aa98c4bd8e470109b5ad4a8c26195,4,68363,1,0
12072,01757a6ab458e1844227d5e294ac65f6fa9c04f18b17b6c7b63d6f5ae33ca0e9,1,167517,9,3
12073,0284323687917c9cb4e702ca4704875ee2628f59f052ad140314c3727f4313a6,1,167517,9,3
12074,02df088017b119139b4934bb0e20af67db0fde422e652248a0f3cd4ea45f07c5,1,62464,1,0
12075,02f2003d1d1c765ea34f655ad57c76db17b90f0ce51ab8145d9ac2e267caa7bb,1,89238,16,0
12076,035c6cc8eebc95ca1b1796414460261a0dab2c6a0d46746fa8a510bd578219e7,1,167442,9,3
12077,035fcfe2c5255327299e260ba474efb799342d7b0ed7c4015674a8d82aebd840,1,86528,16,0
12078,06c9c91a23b8762bb85a6ed9775ddd1bdf0d0fae99c97301b811acdd45fb21c7,1,138695,9,3
12079,072d95008d1a4aebb6e21b7d07dbe0ba5db7e649d9ad425962613a1cda5c6263,1,62464,4,0
12080,07b70443cb11d9048743f9ab791cbdfca8c5e46649476a3343e4443a032cb0b7,1,89238,16,0
12081,08d8bbdfd751689efe9c65501e8c9e2e3387c958ec728e8ba21dc6e0140b1d3f,1,140743,9,3
12082,d732bc4f7bd2951cedef03a3a3235cce4f33602c858e0c5caceeb98f5bf1a4bf,4,106562,1,5
12083,1dd1c52e5eb1b1e5c4abc7c327b63687528118e612e9a42f01b97955676f4ff0,4,227668,3,0
